"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-11-28T01:03:12.000Z","text","if i ran for prez and the public found this account i think it would actually garner me more votes i speak the mind of the people im hella relatable","","","2","","1"
"2023-11-27T19:23:46.000Z","text","Ok wait this would actually be GAMECHANGING","","","","","1"
"2023-11-27T16:59:48.000Z","text","HIRE HER SHES THE BEST ATTORNEY I KNOW she got me no jail time for wire fraud thank u queen she’s the bestttt","","","2","","1"
"2023-11-26T04:03:51.000Z","text","Hehe thanks girl.. excited to go into business with you 😊","","","","","1"
"2023-11-26T03:50:11.000Z","text","Have an idea for a project I wanna build but can’t tell if it’s dumb dumb or dumb in a cute way","","","1","","1"
"2023-11-26T01:37:34.000Z","text","It does have a very distinct voice but I wouldn’t call it golden retriever","","","1","",""
"2023-11-26T01:04:28.000Z","text","Nevermind can’t move back to Boston I forgot how cold and white it is","","","2","",""
"2023-11-24T23:07:32.000Z","text","Girl u showed up at 6pm","","","1","","1"
"2023-11-24T22:55:33.000Z","text","She just came back from the medspa let her rest","","","1","",""
"2023-11-24T22:54:17.000Z","image","bbl, lip injections, rhinoplasty, botox, jaw reduction, fat reduction, double chin removal, liposuction, buccal fat removal, brow lift and fox eye threading, double eyelid surgery, under eye fillers, cheek filler, nose bridge implant, forehead shaved and sculpted","","https://pbs.twimg.com/media/F_u_XK3bwAAk6j5?format=jpg&name=medium","4","","1"
"2023-11-24T21:00:35.000Z","text","tweets during thanksgiving week are always the best of the year","","","","",""
"2023-11-24T16:44:01.000Z","text","When I grow up my household will be a sweats and PJs thanksgiving dinner family. There’s no way im dressing up to eat in my own home!","","","2","",""
"2023-11-24T03:16:18.000Z","text","As soon as that bone chilling cold, dry late November Boston air hits my face I think to myself.. I think I could move back here #bostonstrong","","","2","","1"
"2023-11-24T02:25:53.000Z","text","Omg lol why didn’t y’all chop it up damn","","","1","","1"
"2023-11-23T20:42:54.000Z","image","Omg bless u lord for thy gifts","","https://pbs.twimg.com/media/F_pXsvgb0AA5zWO?format=jpg&name=medium","1","","1"
"2023-11-23T20:30:34.000Z","text","MY FLIGHT IS BOARDING NOW AND IM STILL LIKE 10 MIN AWAY IM SO DUMB thanks for checking in tho","","","1","",""
"2023-11-23T20:14:05.000Z","text","Oh my god I just freaking took the wrong Bart TWICE to get to SFO if precheck is longer than 15 min I will miss my flight I’m freaking out","","","2","","2"
"2023-11-23T18:03:09.000Z","text","Can he unjoin","","","2","1",""
"2023-11-22T06:31:34.000Z","text","The real villain here is the boyfriend probably entertaining the friend’s attention and making his gf feel insecure. Verdict: ESH","","","","","1"
"2023-11-21T23:56:02.000Z","text","Just know it’s true","","","","",""
"2023-11-21T23:55:07.000Z","text","","","","","","1"
"2023-11-21T23:54:38.000Z","text","what i tell myself whenever im on a hike and forget my bear spray","","","2","",""
"2023-11-21T23:53:53.000Z","text","are you trying to deny it","","","","","1"
"2023-11-21T23:51:54.000Z","text","girl starbucks supports genocide","","","","","1"
"2023-11-21T23:51:37.000Z","text","i literally was about to comment that on your main","","","1","",""
"2023-11-21T19:37:42.000Z","text","First step is to make amends with those you have hurt 🙏🏼 thank you for accepting me  hope we can remain friends!","","","2","",""
"2023-11-21T19:16:05.000Z","text","Feel free to send hate I deserve it","","","4","",""
"2023-11-21T19:06:33.000Z","text","i take back everything ive ever said about lana...im sorry to everyone i may have offended in the past...i get her now...","","","4","","3"
"2023-11-21T02:04:53.000Z","text","Thank u boba king 🙏🏼","","","","",""
"2023-11-21T01:04:28.000Z","text","Extremely out of character for me to be waiting 30 min for boba but here I am","","","1","","1"
"2023-11-20T22:52:08.000Z","text","its  actually but same shit","","","","",""
"2023-11-20T21:54:47.000Z","image","lol","","https://pbs.twimg.com/media/F_aLYsfa0AA9J4z?format=png&name=900x900","1","","1"
"2023-11-19T20:24:37.000Z","text","Some people got such negative energies that even thinking about them for 1 second puts you in a bad mood","","","","",""
"2023-11-19T20:22:40.000Z","text","She’s got an AMC plug","","","1","",""
"2023-11-19T19:33:30.000Z","text","Accidentally bought no pulp orange juice I’m absolutely livid right now","","","1","",""
"2023-11-18T07:07:42.000Z","text","I’m at the level of drunk where I’m asking the Uber driver where he’s from and how long he’s been driving for Uber","","","4","",""
"2023-11-16T22:43:44.000Z","text","Wow we’re all so surprised","","","2","",""
"2023-11-16T04:35:42.000Z","text","A girl should not be commuting home at 9pm 😡","","","2","","1"
"2023-11-16T03:45:10.000Z","text","He could’ve ate but this was what came out of his mouth","","","","",""
"2023-11-15T03:44:10.000Z","text","This is beyond weird","","","","",""
"2023-11-14T20:29:11.000Z","text","Just found out the way brita tells you when to change your filter is by the number of times you open the lid to refill. That seems wildly inaccurate to me.","","","2","",""
"2023-11-14T20:19:20.000Z","text","Who wants to start a would you rather podcast with me where we just ask each other would you rather questions for 60 min every week","","","1","",""
"2023-11-13T00:37:51.000Z","text","this is the type of guy that has mastered the art  of emotionally manipulation by deliberately criticizing females and undermining their confidence","","","10","",""
"2023-11-12T23:24:41.000Z","text","SF weather today is just absolutely toe curling","","","1","",""
"2023-11-12T06:21:23.000Z","text","Being in an Uber instantly makes you feel 3x more drunk I hate it so much","","","1","",""
"2023-11-10T20:16:52.000Z","text","Yes","","","","","1"
"2023-11-10T02:58:04.000Z","text","Dirty chai is chai latte with espresso","","","","","1"
"2023-11-10T02:32:47.000Z","text","Dirty chai or just normal","","","","","1"
"2023-11-04T21:49:34.000Z","image","50% sweet boba is still too sweet nowadays!","","https://pbs.twimg.com/media/F-HwwXlWsAAf3q0?format=jpg&name=medium","2","",""
"2023-11-03T17:47:00.000Z","text","You ever feel like you ate so much food you wanna vom but you can’t because that’s essentially wasting money? Yeah that’s me right now","","","","",""
"2023-10-31T18:27:39.000Z","text","im this friend but instead of drinks its weekend tripsi love all of my unemployed/chronically degenerate friends but i don’t know how many more 7 drinks on a tuesday night i got left in me","","","1","","1"
"2023-10-30T21:40:21.000Z","text","HAD THE MOST INSANE LUCK TODAY OMG THANK U UNIVERSE!!!","","","1","",""
"2023-10-30T00:37:03.000Z","text","Ohh ok love that for them","","","","",""
"2023-10-30T00:35:36.000Z","text","Remember when emrata and Eric Andre seemingly hard launched each other on Valentine’s Day and we just never hear from them again..?? I was really rooting for them","","","","","1"
"2023-10-27T21:26:13.000Z","text","Just had my first period event in four months. This just explained every physical and mental issue I’ve had in the past week","","","1","","1"
"2023-10-26T21:58:48.000Z","text","Ok taking a break from work to say fuck this guy! First of all, reading isn’t that serious romance and erotica are legitimate genres. secondly this man’s tone regarding porn just shows how men view porn as a medium for misogyny. I bet the porn this guy consumes is mad disgustingone thing I didn't understand until recently is a large number of women who are into "books" and "reading" are just into porn. they are talking about porn","","","3","","1"
"2023-10-25T19:04:31.000Z","text","TRUE $1 caffeine is just as good as $7caffeine!!","","","","",""
"2023-10-24T19:53:42.000Z","text","if you see me out on halloween, please don't ask me what i am its none of your business!","","","","",""
"2023-10-24T02:21:24.000Z","text","Looking for a life partner that will join me in watching our dirty clothes spin in the laundry machine for at least 5 min to make sure the machine is working as expected 👫🏻","","","1","",""
"2023-10-22T03:08:23.000Z","image","Of course mine is the most well endowed out of all of them #owala #owalagirls #silentmajority","","https://pbs.twimg.com/media/F9Azbv0WkAAvOPB?format=jpg&name=medium","3","",""
"2023-10-21T17:48:15.000Z","image","An REI, Marshall’s, Goodwill, AND Trader Joe’s all next door?!?! 😍😍","","https://pbs.twimg.com/media/F8-zQsaWcAAN6gP?format=jpg&name=medium","2","",""
"2023-10-21T16:42:50.000Z","text","It’s BEAUTIFUL and the downtown is so cute 😭","","","","",""
"2023-10-21T15:59:28.000Z","text","Boulder is now one of my top 5 cities in North America 💪🏻 I want to move here!","","","2","","3"
"2023-10-20T06:52:50.000Z","text","The way I was able to taste this book..","","","3","",""
"2023-10-19T16:10:22.000Z","text","I love soy milk","","","1","","1"
"2023-10-16T19:26:25.000Z","text","Who cares","","","2","","1"
"2023-10-16T19:10:27.000Z","image","Life is so amazing don’t let anyone tell you otherwise ok!!!","","https://pbs.twimg.com/media/F8lWHHJawAEHYYQ?format=jpg&name=medium","4","","3"
"2023-10-15T03:32:57.000Z","text","Dear men, if your date orders 48 oysters..no she didn’t..just look away and pay the bill…#oystergirl #oysterlemondropgirl","","","2","","1"
"2023-10-15T01:05:09.000Z","text","Are we just supposed to accept that dinner entrees are now casually starting at a whopping $35","","","","",""
"2023-10-14T04:43:12.000Z","text","Doing two girl weekends in a row I really want to be friendless by Halloween","","","1","",""
"2023-10-13T04:38:49.000Z","text","Walking amongst a group of people but none of them know IM LITERALLY ABOUT TO PEE MY PANTS RN AHH!!","","","1","",""
"2023-10-11T01:32:17.000Z","text","He loves his wife","","","","",""
"2023-10-11T01:32:04.000Z","text","Hot tea yes, iced tea not so much for me!","","","","","1"
"2023-10-11T00:09:30.000Z","text","I don’t want to think about dogs dying !","","","1","",""
"2023-10-11T00:07:03.000Z","text","Human skeleton Halloween decorations are fair game but if you’re putting dog skeletons out on your patio you are just morbid and completely inappropriate","","","3","","1"
"2023-10-11T00:04:41.000Z","text","Woah c word","","","1","",""
"2023-10-10T04:28:14.000Z","text","if this is how dating is like now i dont wanna participate 😿 im not singing on hinge","","","1","","1"
"2023-10-10T04:23:26.000Z","text","can i get confirmation that people are actually sending those insane voice notes on hinge now because if this is true i simply can't compete in today's dating market","","","2","","1"
"2023-10-10T04:22:06.000Z","text","husband","","","","",""
"2023-10-08T15:35:16.000Z","text","Don’t delete","","","1","",""
"2023-10-08T05:05:46.000Z","text","Girl math is eating a ton of food all day  but if you just go on a 30 min run at 9pm none of your gluttony and calories count for the day","","","2","",""
"2023-10-07T21:50:43.000Z","text","Ok don’t cancel me but the fleet week air shows are kinda sick…","","","2","",""
"2023-10-05T22:44:13.000Z","text","if he plays 8ball imessage games with you that's 10 bodies","","","3","","1"
"2023-10-05T02:28:30.000Z","text","Why does every run club start at 7am or earlier 😭","","","","","1"
"2023-10-02T08:49:54.000Z","text","Jyoty lowkey ate Skrillex upppp 🫢","","","2","1",""
"2023-10-01T22:10:02.000Z","text","Reading my kindle in bed after getting all my shit done for the day is literally peak luxury frrrr!! 😎💪🏻😇","","","4","","2"
"2023-10-01T02:47:38.000Z","text","Polo and pan is my heaven but Eric prydz will be my hell #portola","","","2","","1"
"2023-10-01T00:02:47.000Z","text","’s mustache got bigger","","","1","",""
"2023-09-30T16:06:29.000Z","text","First time swimming at aquatic cove..can’t tell if that was disgusting but 10/10 experience nonetheless!","","","1","",""
"2023-09-28T19:50:45.000Z","text","Got me started is my song of the year","","","4","","1"
"2023-09-27T05:45:18.000Z","text","Dare I say this new season of love is blind is the best one yet!!! I’ve been on the edge of my seat for the past 5 hours","","","","",""
"2023-09-27T00:12:31.000Z","text","No pressure","","","1","",""
"2023-09-27T00:05:28.000Z","text","Washington square in north beach on a sunny day has nyc energy","","","","",""
"2023-09-23T18:33:45.000Z","text","My 70 year old high school history teacher just asked me if I ever read Daisy Jones and the six 😭 girlie book club picks transcends all ages","","","","",""
"2023-09-22T23:48:53.000Z","text","It’s not a trip without getting a $40 tshirt to commemorate","","","","",""
"2023-09-21T16:36:57.000Z","text","Weddings are adult prom","","","1","",""
"2023-09-20T03:28:30.000Z","text","Bet","","","1","",""
"2023-09-19T23:57:05.000Z","image","And we’re proud!","","https://pbs.twimg.com/media/F6XUpnNaEAAzQGc?format=png&name=900x900","","",""
"2023-09-19T20:13:20.000Z","text","Disappointed to announce that I’ve started to play pickleball","","","1","","2"
"2023-09-19T16:56:07.000Z","text","Whyyyy","","","1","",""
"2023-09-19T01:29:23.000Z","text","Here for this!!!","","","1","","1"
"2023-09-18T07:57:33.000Z","text","Happy 6 months (and 5 days) in SF to meeeee","","","2","",""
"2023-09-16T22:45:42.000Z","text","Why is finding jeans so hard","","","1","","1"
"2023-09-15T05:18:36.000Z","text","People who don’t use 24hr time need to grow up","","","","",""
"2023-09-15T05:18:15.000Z","text","Mmm I don’t think I’m a tripe girl","","","","",""
"2023-09-15T05:02:39.000Z","text","On the Caltrain upper levels waiting for my meet cute to happen","","","1","",""
"2023-09-14T03:22:13.000Z","text","Hot pot never fails to lift my spirits!","","","1","",""
"2023-09-13T03:19:58.000Z","text","If I disappear for 3 months and come back with c cups don’t be surprised","","","2","","1"
"2023-09-12T05:06:44.000Z","text","RT to CLAIM this energyTold everyone that I spoke with today that I could really fuck up a meatball marinara, and guess what I’m munching on rn? Exactly. That’s called getting shit done. Handling it. That’s how an alpha lives life. And handles it.","","","2","",""
"2023-09-12T02:25:52.000Z","text","Reading smut on BART was…an experience","","","3","","1"
"2023-09-10T04:09:16.000Z","text","There’s a 70% chance a coffee shop’s wifi password is “goodcoffee” try it and thank me later","","","","",""
"2023-09-02T04:29:08.000Z","text","Queen behavior but as a former Starbucks employee this is my worst nightmare","","","2","","1"
"2023-08-26T08:32:23.000Z","text","Young manzino in my man in my delulu of grandeur","","","1","",""
"2023-08-24T02:36:54.000Z","text","Hey so ummm new ikea just opened in SF…Dream ikea date: sharing a plate of Swedish meatballs, making love in their beds","","","2","",""
"2023-08-23T02:13:50.000Z","text","Your goodreads real quiet lately…","","","1","","1"
"2023-08-23T01:54:52.000Z","text","Idk how I ended up in 3 active book clubs but here we are..","","","1","","1"
"2023-08-16T23:40:08.000Z","text","in my runner girl eraaaa 🏃‍♀️💨","","","","",""
"2023-08-09T03:18:16.000Z","text","Sandy liang this sandy liang that who the heck is she??","","","1","",""
"2023-08-07T16:30:09.000Z","text","Upper level Caltrain is a great place for a meet cute","","","1","","2"
"2023-08-04T05:58:00.000Z","text","The PM who gave this the OK deserves jail","","","1","",""
"2023-08-04T05:55:50.000Z","text","Absolutely hate when lyft notification for tips pop up mid ride..like i haven’t even got home yet CHILL OUT","","","","","1"
"2023-07-26T02:04:49.000Z","text","Davvv do u like new jeans","","","","","2"
"2023-07-25T18:27:35.000Z","text","pinkpantheress walked so newjeans could run","","","1","","1"
"2023-07-20T22:32:19.000Z","text","I just suffer 😢","","","","",""
"2023-07-20T02:46:44.000Z","text","on principle i wont DNF a book! i just wont do it!","","","1","","2"
"2023-07-06T22:07:19.000Z","image","war is overrrrrr‘Gossip Girl’ has returned to Netflix.","","https://pbs.twimg.com/media/F0YDkKYaYAAhYiW?format=jpg&name=medium","3","",""
"2023-06-23T05:01:56.000Z","text","Like you can call a city like they have a number","","","","",""
"2023-06-23T00:47:21.000Z","text","crazy that you can just call up a city if you have a question or something","","","","","1"
"2023-06-20T23:58:08.000Z","text","not usually a emily mariko fan but i just know her wedding is going to be the wedding of my dreams..","","","4","",""
"2023-06-13T17:29:09.000Z","text","Breakfast for dinner is not it","","","","1",""
"2023-06-04T01:35:40.000Z","text","Steakhouses are the only places where the waiters can get away with borderline rude service","","","1","",""
"2023-06-02T14:20:09.000Z","text","Out of all the slams, Roland Garros has the most chaotic vibes","","","","",""
"2023-05-26T17:50:02.000Z","text","google bard > chatgpt for coding","","","","",""
"2023-05-25T20:08:56.000Z","text","lost my airpods again but its ok i will find them again in 2 months like the last 3 times","","","3","",""
"2023-05-24T19:01:02.000Z","text","The only thing that will revive me is spicy raw marinated crab 😤","","","","",""
"2023-05-15T23:31:03.000Z","text"," is WORTH THE HYPE WOW","","","","",""
"2023-05-14T19:42:05.000Z","text","I miss being a barista I miss the simple life 🥲","","","1","","1"
"2023-05-08T02:52:36.000Z","text","alaska trip officially PLANNED AND BOOKED i could explode with excitement right now 🥳😆","","","2","","1"
"2023-05-05T04:26:52.000Z","text","The things I would do for some canes chicken right now!","","","1","","1"
"2023-04-30T20:31:49.000Z","text","Real…drugs dont work anymore i think i need to have a kid","","","3","","1"
"2023-04-28T21:56:34.000Z","text","Debating whether to dye my virgin hair (that took years to grow out) to go lighter for summer 😥","","","2","","1"
"2023-04-23T19:22:01.000Z","text","When I think of an ideal man, tony hawk comes to mind","","","1","","3"
"2023-04-19T03:22:11.000Z","text","Zach choi’s smize is the only thing able to provide me with any semblance of serotonin into my brain right now","","","1","","1"
"2023-04-17T09:48:59.000Z","text","I can’t believe Frank stopped while I’m mid sob I wasn’t done sobbing yet","","","3","",""
"2023-04-11T19:36:09.000Z","text","it honestly shocking how often important business logic gets decided in random slack threads","","","2","",""
"2023-04-10T18:08:21.000Z","text","invisible string and sweet nothing on repeat im in mourning","","","1","",""
"2023-04-10T04:30:25.000Z","text","🙊","","","","",""
"2023-04-10T03:25:18.000Z","text","I dont need to watch #BEEFNetflix I'm already beefing with  🥩👊","","","2","","1"
"2023-04-05T04:19:35.000Z","text","And just like that we’re in Q2 ladies!!! The best quarter is the year 💪🏻💪🏻💪🏻","","","2","",""
"2023-04-04T06:57:51.000Z","image","HELL YEAAAHH ❣️❣️❣️A ‘HARRY POTTER’ reboot is in the works at HBO.

Each season of the series would be based on one of the 7 books.

(Source: https://trib.al/u95fav4)","","https://pbs.twimg.com/media/Fs08FKRXsAEDqir?format=jpg&name=medium","1","",""
"2023-03-28T01:19:53.000Z","text","DAVID IM EATING DINNER","","","","",""
"2023-03-28T01:18:06.000Z","text","Till what","","","","","1"
"2023-03-28T01:16:54.000Z","text","People are entitled to their opinions ","","","","","1"
"2023-03-27T22:10:42.000Z","text","No I’m so serious!! It was so good","","","","",""
"2023-03-27T05:25:27.000Z","text","Had elk for the first time today and it was probably the best meal I’ve had all year","","","3","","1"
"2023-03-26T21:34:23.000Z","text","Gotta wear hot pink snow pants so people know Im a woman on the slopes","","","2","","1"
"2023-03-26T21:33:24.000Z","text","Male vs female idea of being silly ","","","2","",""
"","text","","","","","",""
"2023-03-26T02:24:19.000Z","text","Eating the worst rice of my life right now #Denver #denvergirls","","","3","","1"
"2023-03-25T02:04:07.000Z","text","Nooo don’t hate me :(","","","","","1"
"2023-03-24T23:41:03.000Z","text","Lana’s new album just put me in a sour mood why do people like this 🤧","","","","","2"
"2023-03-24T00:07:28.000Z","text","Is this not accurate!","","","","",""
"2023-03-23T19:30:15.000Z","video","Visual representation of work todayWatch as lighting strikes again and again in the same spot 😳","blob:https://twitter.com/5282b271-0248-49ff-baee-473f94abad59","https://pbs.twimg.com/amplify_video_thumb/1638917965470113792/img/OQpTy8VYwL60ziiv.jpg","4","","2"
"2023-03-23T06:24:41.000Z","text","The US gov would be doing me a huge favor by banning TikTok please do it #manifesting","","","2","","1"
"2023-03-21T03:17:59.000Z","text","What would happen if you pressed both the gas and the break pedal at the same time","","","","",""
"2023-03-20T05:04:08.000Z","image","🤩🥹🫡","","https://pbs.twimg.com/media/FrojLKAXoAEF9TS?format=jpg&name=900x900","2","",""
"2023-03-17T21:45:52.000Z","text","A compliment from one female is way better than compliments from 100 males","","","1","",""
"2023-03-14T21:27:20.000Z","text","I love Joel but we would not travel well together","","","2","",""
"2023-03-13T05:41:38.000Z","video","So happy for my first ever celebrity crush! The mummy lives on 🫡🫡🫡Watch as Brendan Fraser wins Best Actor at the #Oscars","blob:https://twitter.com/2c15d773-1756-46c3-981a-37e4afc966b6","https://pbs.twimg.com/amplify_video_thumb/1635123792870621186/img/7cSRnrghP7TaxANn.jpg","","",""
"2023-03-13T04:21:57.000Z","image","#Oscar2023","","https://pbs.twimg.com/media/FrEpxowaIAAeEXq?format=jpg&name=900x900","2","",""
"2023-03-10T18:19:25.000Z","text","Males are not kings but merely the jesters in your court queen 👸","","","1","","1"
"2023-03-10T18:16:28.000Z","text","NOOOO","","","","","1"
"2023-03-10T05:07:10.000Z","image","My fav days are sunny winter days where it’s clear enough that you can still see the snow cap mountains ☺️☺️☺️","","https://pbs.twimg.com/media/Fq1XWWzaIAAvVuu?format=jpg&name=small,https://pbs.twimg.com/media/Fq1XWXPaUAAEc8J?format=jpg&name=small","1","",""
"2023-03-10T03:03:40.000Z","text","Does anyone wanna try the new chicken Big Mac with me 😋","","","1","","1"
"2023-03-08T19:46:20.000Z","text","😅","","","","",""
"2023-03-08T17:33:48.000Z","text","Fitting that I picked today to take my day off! Happy women’s day we are amazing!","","","2","","1"
"2023-03-07T18:38:22.000Z","text","Getting Covid in 2023 is so embarrassing…you get no sympathy just laughs 🙁","","","2","",""
"2023-03-07T03:44:39.000Z","video","My kind of ASMRTOTAL DESTRUCTION","blob:https://twitter.com/19806526-dec9-4614-90d4-f495fcbde817","https://pbs.twimg.com/ext_tw_video_thumb/1631390495791259666/pu/img/yjOQcd3pUGSUdjXG.jpg","1","",""
"2023-03-07T03:38:23.000Z","text","Omg hell yeah…","","","1","",""
"2023-03-07T02:52:14.000Z","text","Thank god 🙏🏼","","","3","","1"
"2023-03-07T02:51:30.000Z","text","Don’t let anyone tell you manifestation isn’t real ☠️📉80% sure I caught covid this week!","","","2","",""
"2023-03-05T23:51:14.000Z","text","80% sure I caught covid this week!","","","","1","1"
"2023-03-04T17:21:26.000Z","text","I can’t live in a landlocked city! I’m a coastal girl through and through","","","3","","1"
"2023-03-04T06:55:39.000Z","text","yay Yerbamate 🤤 boo matcha 🤢","","","1","",""
"2023-03-04T06:43:59.000Z","text","Ok sorry damn!","","","","",""
"2023-03-04T06:07:05.000Z","text","I hate unplanned FaceTimes like if you FaceTime me unannounced you better trust that I will not pick up 🚶🏻‍♀️","","","2","","2"
"2023-03-01T21:26:03.000Z","text","a staccato “BA!” with emphasis on the B","","","3","1",""
"2023-03-01T16:08:10.000Z","text","Just tried the viral tunacado sandwich and idk what these TikTok girlies are gabbing about but it’s literally not good","","","","",""
"2023-02-28T03:32:45.000Z","text","Murder mysteries are so fun to read but I’m also cringing so hard..too much is happening at once the husband kills mistress, mistress is pregnant, and the sheriff is flirting with the wife, the wife is also her husband’s lawyer oh my!!!","","","2","","1"
"2023-02-27T02:34:37.000Z","text","But maybe he just wants to understand 😔","","","1","",""
"2023-02-27T02:29:23.000Z","image","Either a very green or very red flag for a male to be reading OttessaOH HELL NO","","https://pbs.twimg.com/media/Fp62x_aWwAAOQez?format=jpg&name=small,https://pbs.twimg.com/media/Fp62x_ZXoAMmabd?format=jpg&name=360x360","","","2"
"2023-02-25T02:54:42.000Z","image","Oh you’re so welcome girlGot caught up on the Selena Gomez drama thanks @kiki_c123","","https://pbs.twimg.com/media/Fpx8HtUWIAElz67?format=jpg&name=large","","",""
"2023-02-24T22:05:01.000Z","text","I’m a selenurrrr 💪🏻","","","2","","1"
"2023-02-24T20:49:39.000Z","text","David whataaat","","","","",""
"2023-02-23T19:14:59.000Z","text","Daily reminder to be kind to yourself! This is your sign to get yourself a little treat 😇","","","2","",""
"2023-02-23T18:27:33.000Z","text","Don’t","","","1","",""
"2023-02-20T21:01:54.000Z","text","Long weekend listening to Omar Apollo and weeping","","","3","",""
"2023-02-20T21:01:32.000Z","text","I CLAIM ","","","1","","1"
"2023-02-18T20:10:29.000Z","text","Watching chefs casually add half a stick of butter into the dish gives me so much anxiety 😥","","","1","","1"
"2023-02-18T06:41:00.000Z","text","One of my fav things about Asia is that eating doesn’t have to be a social endeavor. They let you eat alone in peace there🙏🏼","","","","",""
"2023-02-17T19:38:09.000Z","text","Behind every man there’s a strong woman","","","3","","1"
"2023-02-17T04:55:18.000Z","text","I was talking about medication like a drug prescription 😭 I thought you were gaslighting me 🥲","","","","",""
"2023-02-16T20:34:10.000Z","text","Do you mean this in like a see it from a new perspective kinda thing…..","","","","",""
"2023-02-16T18:49:37.000Z","text","The healthcare system actually gets me so angry","","","","","1"
"2023-02-16T18:44:41.000Z","text","Another day without my prescription…side quest gone wrong 😭😔","","","1","","1"
"2023-02-16T02:32:11.000Z","video","WE NEED MORE OF THIS COLLABWhy does this pinkpantheress and ice spice mix actually go crazy lol","blob:https://twitter.com/390d46e9-c33c-485d-92d6-36e9a3790dd2","https://pbs.twimg.com/ext_tw_video_thumb/1624607646572584960/pu/img/tU8RF3gN_sAI41RJ.jpg","2","",""
"2023-02-16T02:30:46.000Z","text","Idc but Ice spice and Meg staying ","","","2","",""
"2023-02-16T00:37:06.000Z","text","Another hot take","","","","",""
"2023-02-14T00:01:02.000Z","text","My stock is up 📈📈📈","","","3","","1"
"2023-02-14T00:00:55.000Z","text","Big ouchie but I’m officially woman now 💃🏻📈","","","2","","1"
"2023-02-04T04:58:54.000Z","text","She in ha mood 💃🏻","","","","","1"
"2023-02-04T04:47:58.000Z","text","I would give up both my pinky toes for ice spice to perform at my birthday party 🙏🏼","","","2","","2"
"2023-02-03T02:23:59.000Z","text","I need elementary school Valentine’s Day back where every boy in class was required to send me chocolates and a handwritten card","","","4","",""
"2023-02-02T21:43:53.000Z","text","This take is piping hot","","","","","1"
"2023-02-02T02:34:22.000Z","text"," he’s the best comedian I know! Hire him as an opener please!","","","2","",""
"2023-02-01T20:45:43.000Z","text","","","","2","",""
"2023-02-01T03:18:28.000Z","text","The fact that Pamela Anderson is from British Columbia just shook me to my core","","","","",""
"2023-01-31T18:31:29.000Z","text","Morning sleepyhead!","","","1","",""
"2023-01-31T16:23:55.000Z","text","I love waking up to snow 🥰","","","1","","1"
